botanical_name,common_name,family_botanical_name,native,EOL_ID,EOL_overview_URL,simplified_IUCN_status,IUCN_status,IUCN_DOI_or_URL,shade_production,form,type,Cal_IPC_rating,CAL_IPC_url,Irrigation_Requirements
Juglans hindsii,CALIFORNIA BLACK WALNUT,Juglandaceae,native,595007,http://eol.org/pages/595007/overview,Vulnerable,Vulnerable A1c,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T35154A9915361.en,filtered,spreading,deciduous,,,"none, once established"
Juniperus chinensis,CHINESE JUNIPER,Cupressaceae,exotic,1061675,http://eol.org/pages/1061675/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42227A2962948.en,little,conical,evergreen,,,minimal
Juniperus chinensis 'Torulosa',HOLLYWOOD JUNIPER,Cupressaceae,exotic,1061675,http://eol.org/pages/1061675/overview,not listed,not listed,,little,conical,evergreen,,,minimal
Koelreuteria bipinnata,CHINESE FLAME TREE,Sapindaceae,exotic,483646,http://eol.org/pages/483646/overview,not listed,not listed,,filtered,"rounded, vase",deciduous,,,moderate
Koelreuteria paniculata,GOLDENRAIN TREE,Sapindaceae,exotic,487245,http://eol.org/pages/487245/overview,not listed,not listed,,filtered,"rounded, vase",deciduous,,,moderate
Lagerstroemia indica,CRAPE MYRTLE,Lythraceae,exotic,582106,http://eol.org/pages/582106/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Lagerstroemia indica 'Muskogee',MUSKOGEE CRAPE MYRTLE,Lythraceae,exotic,582106,http://eol.org/pages/582106/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Lagerstroemia indica 'Natchez',Natchez Crape Myrtle,Lythraceae,exotic,582106,http://eol.org/pages/582106/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Lagerstroemia indica 'Purple',PURPLE CRAPE MYRTLE,Lythraceae,exotic,582106,http://eol.org/pages/582106/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Lagerstroemia indica 'Red',Red Crape Myrtle,Lythraceae,exotic,582106,http://eol.org/pages/582106/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Lagerstroemia indica 'Tuscarora',Tuscarora Crape Myrtle,Lythraceae,exotic,582106,http://eol.org/pages/582106/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Lagerstroemia indica 'White',White Crape Myrtle,Lythraceae,exotic,582106,http://eol.org/pages/582106/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Lagunaria patersonii,PRIMROSE TREE,Malvaceae,exotic,586694,http://eol.org/pages/586694/overview,not listed,not listed,,dense,rounded,evergreen,,,minimal
Laurus nobilis,SWEET BAY,Lauraceae,exotic,486835,http://eol.org/pages/486835/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T203351A119996864.en,dense,conical,evergreen,,,minimal
Leptospermum laevigatum,AUSTRALIAN TEA TREE,Myrtaceae,exotic,2508619,http://eol.org/pages/2508619/overview,not listed,not listed,,dense,rounded,,watch,https://www.cal-ipc.org/plants/risk/leptospermum-laevigatum-risk/,minimal
Leptospermum spp.,Tea Tree,Myrtaceae,exotic,2508616,http://eol.org/pages/2508616/overview,not listed,not listed,,dense,rounded,,,,minimal
Ligustrum lucidum,GLOSSY PRIVET,Oleaceae,exotic,487035,http://eol.org/pages/487035/overview,not listed,not listed,,dense,rounded,evergreen,limited,https://www.cal-ipc.org/plants/paf/ligustrum-lucidum-plant-assessment-form/,
Liquidambar formosana,Chinese Sweetgum,Altingiaceae,exotic,2887420,http://eol.org/pages/2887420/overview,Least Concern,Least Concern,http://www.iucnredlist.org/details/61983495/0,dense,columnar,deciduous,,,
Liquidambar styraciflua,AMERICAN SWEETGUM,Altingiaceae,exotic,594658,http://eol.org/pages/594658/overview,Least Concern,Least Concern,http://www.iucnredlist.org/details/33966/0,dense,"columnar, rounded",deciduous,,,moderate
Liquidambar styraciflua 'Rotundiloba',ROUND-LEAFED SWEETGUM,Altingiaceae,exotic,594658,http://eol.org/pages/594658/overview,not listed,not listed,,dense,"columnar, rounded",deciduous,,,moderate
Liriodendron tulipifera,TULIP TREE,Magnoliaceae,exotic,1155834,http://eol.org/pages/1155834/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T194015A2294401.en,dense,"rounded, vase",deciduous,,,moderate
Livistona chinensis,CHINESE FOUNTAIN PALM,Arecaceae,exotic,1140296,http://eol.org/pages/1140296/overview,not listed,not listed,,"little, none",palm,evergreen,,,
Lophostemon confertus,BRISBANE BOX,Myrtaceae,exotic,2508670,http://eol.org/pages/2508670/overview,not listed,not listed,,filtered,rounded,evergreen,,,minimal
Lophostemon confertus 'Variegata',VARIEGATED BRISBANE BOX,Myrtaceae,exotic,2508670,http://eol.org/pages/2508670/overview,not listed,not listed,,filtered,rounded,evergreen,,,minimal
Lyonothamnus floribundus,FERN-LEAF CATALINA IRONWOOD,Rosaceae,native,47383078,https://eol.org/pages/47383078,Vulnerable,Vulnerable D2,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T37561A10058223.en,filtered,vase,evergreen,,,minimal
Macadamia integrifolia,SMOOTH-SHELL MACADAMIA,Proteaceae,exotic,39867980,http://eol.org/pages/39867980/overview,not listed,not listed,,dense,rounded,,,,
Macadamia tetraphylla,ROUGH-SHELL MACADAMIA,Proteaceae,exotic,491550,http://eol.org/pages/491550/overview,not listed,not listed,,dense,rounded,,,,moderate
Magnolia champaca,Champaca,Magnoliaceae,exotic,1155025,http://eol.org/pages/1155025/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T191869A15267603.en,dense,rounded,,,,
Magnolia grandiflora,SOUTHERN MAGNOLIA,Magnoliaceae,exotic,1154991,http://eol.org/pages/1154991/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T193948A2291865.en,dense,"rounded, spreading",evergreen,,,moderate
Magnolia grandiflora 'Little Gem',Little Gem Magnolia,Magnoliaceae,exotic,1154991,http://eol.org/pages/1154991/overview,not listed,not listed,,dense,"rounded, spreading",evergreen,,,moderate
Magnolia grandiflora 'Samuel Sommer',SAMUEL SOMMER MAGNOLIA,Magnoliaceae,exotic,1154991,http://eol.org/pages/1154991/overview,not listed,not listed,,dense,"rounded, spreading",evergreen,,,moderate
Magnolia soulangiana,SAUCER MAGNOLIA,Magnoliaceae,exotic,2497011,http://eol.org/pages/2497011/overview,not listed,not listed,,filtered,rounded,deciduous,,,
Malus floribunda,Crabapple,Rosaceae,exotic,628729,http://eol.org/pages/628729/overview,not listed,not listed,,dense,spreading,deciduous,,,
Malus sylvestris,EDIBLE APPLE,Rosaceae,exotic,633316,http://eol.org/pages/633316/overview,Data Deficient,Data Deficient,http://dx.doi.org/10.2305/IUCN.UK.2011-1.RLTS.T172170A6841688.en,dense,rounded,,,,moderate
Maytenus boaria,MAYTEN TREE,Celastraceae,exotic,6940183,http://eol.org/pages/6940183/overview,not listed,not listed,,filtered,pendulous,evergreen,watch,https://www.cal-ipc.org/plants/risk/maytenus-boaria-risk/,moderate
Melaleuca armillaris,Drooping Melaleuca,Myrtaceae,exotic,5449241,http://eol.org/pages/5449241/overview,not listed,not listed,,"filtered, dense",rounded,evergreen,,,minimal
Melaleuca citrina,LEMON BOTTLEBRUSH,Myrtaceae,exotic,2508464,http://eol.org/pages/2508464/overview,not listed,not listed,,,,,,,
Melaleuca ericifolia,Heath Melaleuca,Myrtaceae,exotic,5449388,http://eol.org/pages/5449388/overview,not listed,not listed,,dense,pendulous,,,,minimal
Melaleuca genistifolia,Melaleuca Decora,Myrtaceae,exotic,5449350,http://eol.org/pages/5449350/overview,not listed,not listed,,dense,pendulous,,,,
Melaleuca linariifolia,FLAXLEAF PAPERBARK,Myrtaceae,exotic,2508583,http://eol.org/pages/2508583/overview,not listed,not listed,,"filtered, dense",rounded,evergreen,,,
Melaleuca nesophila,PINK MELALEUCA,Myrtaceae,exotic,5449572,http://eol.org/pages/5449572/overview,not listed,not listed,,little,rounded,evergreen,,,minimal
Melaleuca quinquenervia,CAJEPUT TREE,Myrtaceae,exotic,2508582,http://eol.org/pages/2508582/overview,not listed,not listed,,dense,"rounded, vase",evergreen,,,minimal
Melaleuca spp.,Melaleuca,Myrtaceae,exotic,1327063,http://eol.org/pages/1327063/overview,not listed,not listed,,dense,pendulous,,,,
Melaleuca viminalis,WEEPING BOTTLEBRUSH,Myrtaceae,exotic,5454625,http://eol.org/pages/5454625/overview,not listed,not listed,,,,,,,
Melia azedarach,CHINABERRY,Meliaceae,exotic,581918,http://eol.org/pages/581918/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T61801956A61801958.en,filtered,rounded,deciduous,,,
Metrosideros excelsus,NEW ZEALAND CHRISTMAS TREE,Myrtaceae,exotic,5448620,http://eol.org/pages/5448620/overview,not listed,not listed,,"filtered, dense",rounded,evergreen,,,minimal
Morus alba,WHITE MULBERRY,Moraceae,exotic,594885,http://eol.org/pages/594885/overview,not listed,not listed,,dense,"rounded, spreading",evergreen,,,moderate
Morus spp.,Mulberry Species,Moraceae,exotic,72690,https://eol.org/pages/72690,not listed,not listed,,,,,,,
Musa spp.,BANANA,Musaceae,exotic,44527,http://eol.org/pages/44527/overview,not listed,not listed,,,,,,,high
Myoporum laetum,MYOPORUM,Scrophulariaceae,exotic,578077,http://eol.org/pages/578077/overview,not listed,not listed,,dense,spreading,evergreen,moderate,https://www.cal-ipc.org/plants/profile/myoporum-laetum-profile/,"none, once established"
Myrtus communis,TRUE MYRTLE,Myrtaceae,exotic,2508590,http://eol.org/pages/2508590/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T203365A119997141.en.,dense,conical,evergreen,,,minimal
Nerium oleander,OLEANDER,Apocynaceae,exotic,581314,http://eol.org/pages/581314/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T202961A13537523.en,little,rounded,evergreen,,,minimal
No Replant,No Replant,,,,,not listed,not listed,,,,,,,
Nolina recurvata,PONYTAIL PALM,Arecaceae,exotic,1086152,http://eol.org/pages/1086152/overview,not listed,not listed,,"little, none",palm,evergreen,,,
Olea europaea,OLIVE,Oleaceae,exotic,579181,http://eol.org/pages/579181/overview,Data Deficient,Data Deficient,http://www.iucnredlist.org/details/summary/63005/1,filtered,"rounded, vase",evergreen,limited,https://www.cal-ipc.org/plants/paf/olea-europaea-plant-assessment-form/,minimal
Other tree,Other Tree,,exotic,,,not listed,not listed,,,,,,,
Palm spp.,PALM,Arecaceae,exotic,8193,http://eol.org/pages/8193/overview,not listed,not listed,,"little, none",palm,evergreen,,,
Parkinsonia X 'Desert Museum',Desert Museum Palo Verde,Fabaceae,exotic,53527,http://eol.org/pages/53527/overview,not listed,not listed,,"little, none",palm,evergreen,,,
Persea americana,AVOCADO,Lauraceae,exotic,596888,http://eol.org/pages/596888/overview,Least Concern,Least Concern,http://www.iucnredlist.org/details/96986556/0,filtered,rounded,evergreen,,,moderate
Persea borbonia,RED BAY,Lauraceae,exotic,596915,http://eol.org/pages/596915/overview,not listed,not listed,,filtered,rounded,evergreen,,,moderate
Persea indica,Madeira Bay Fig,Lauraceae,exotic,5394782,http://eol.org/pages/5394782/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T30329A102153566.en,filtered,rounded,evergreen,,,
Phoenix canariensis,CANARY ISLAND DATE PALM,Arecaceae,exotic,1135089,http://eol.org/pages/1135089/overview,Least Concern,Least Concern,http://www.iucnredlist.org/details/13416997/0,little,,,limited,https://www.cal-ipc.org/plants/paf/phoenix-canariensis-plant-assessment-form/,minimal
Phoenix dactylifera,DATE PALM,Arecaceae,exotic,1135088,http://eol.org/pages/1135088/overview,Least Concern,Least Concern,http://www.iucnredlist.org/details/13416997/0,little,,,,,moderate
Phoenix reclinata,SENEGAL PALM,Arecaceae,exotic,1135083,http://eol.org/pages/1135083/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T67540526A67540546.en,"little, none",palm,evergreen,,,
Phoenix roebelenii,PYGMY DATE PALM,Arecaceae,exotic,1135082,http://eol.org/pages/1135082/overview,not listed,not listed,,"little, none",palm,evergreen,,,moderate
Phoenix rupicola,CLIFF DATE PALM,Arecaceae,exotic,1135081,http://eol.org/pages/1135081/overview,Lower Risk/near threatened,Lower Risk/near threatened,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38629A10140589.en,"little, none",palm,evergreen,,,
Picea pungens,BLUE SPRUCE,Pinaceae,exotic,1033621,http://eol.org/pages/1033621/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42333A2973433.en,dense,"columnar, conical",evergreen,,,
Picea spp.,SPRUCE,Pinaceae,exotic,14029,http://eol.org/pages/14029/overview,not listed,not listed,,dense,conical,,,,
Pinus brutia,CALABRIAN PINE,Pinaceae,exotic,1061743,http://eol.org/pages/1061743/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42347A2974345.en,dense,conical,,,,minimal
Pinus canariensis,Canary Island Pine,Pinaceae,exotic,323436,http://eol.org/pages/323436/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T39603A84061236.en,filtered,columnar,evergreen,,,minimal
Pinus eldarica,AFGHAN PINE,Pinaceae,exotic,1282072,http://eol.org/pages/1282072/overview,Near Threatened,Near Threatened,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T34183A2849651.en,dense,conical,,,,
Pinus halepensis,ALEPPO PINE,Pinaceae,exotic,1033600,http://eol.org/pages/1033600/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42366A2975569.en,filtered/dense,conical,evergreen,,,minimal
Pinus pinea,ITALIAN STONE PINE,Pinaceae,exotic,999491,http://eol.org/pages/999491/overview,Least Concern,Least Concern,http://www.iucnredlist.org/details/42391/0,dense,"rounded, spreading",evergreen,,,minimal
Pinus radiata,MONTEREY PINE,Pinaceae,native,1061749,http://eol.org/pages/1061749/overview,Endangered,"Endangered B2ab(ii,iii,v)",http://www.iucnredlist.org/details/42408/0,filtered,"conical, spreading",evergreen,,,minimal
Pinus roxburghii,CHIR PINE,Pinaceae,exotic,1033069,http://eol.org/pages/1033069/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42412A2978347.en,dense,conical,,,,
Pinus thunbergiana,JAPANESE BLACK PINE,Pinaceae,exotic,1033637,http://eol.org/pages/1033637/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42423A2979140.en,dense,"conical, spreading",evergreen,,,minimal
Pinus torreyana,TORREY PINE,Pinaceae,native,1059927,http://eol.org/pages/1059927/overview,Critically Endangered,"Critically Endangered B2ab(ii,iii,v)",http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42424A2979186.en,filtered/dense,"conical, vase",evergreen,,,minimal
Pistacia chinensis,CHINESE PISTACHE,Anacardiaceae,exotic,483509,http://eol.org/pages/483509/overview,not listed,not listed,,filtered,rounded,deciduous,,,"none, once established"
Pittosporum crassifolium,KARO,Pittosporaceae,exotic,486199,http://eol.org/pages/486199/overview,not listed,not listed,,dense,rounded,evergreen,,,moderate
Pittosporum phillyraeoides,WILLOW PITTOSPORUM,Pittosporaceae,exotic,5556132,http://eol.org/pages/5556132/overview,not listed,not listed,,filtered,"weeping, rounded",evergreen,,,moderate
Pittosporum tobira,MOCK ORANGE,Pittosporaceae,exotic,583390,http://eol.org/pages/583390/overview,not listed,not listed,,dense,rounded,evergreen,,,moderate
Pittosporum undulatum,VICTORIAN BOX,Pittosporaceae,exotic,583391,http://eol.org/pages/583391/overview,not listed,not listed,,dense,rounded,evergreen,watch,https://www.cal-ipc.org/plants/risk/pittosporum-undulatum-risk/,moderate
Pittosporum viridiflorum,CAPE PITTOSPORUM,Pittosporaceae,exotic,486203,http://eol.org/pages/486203/overview,not listed,not listed,,dense,rounded,evergreen,,,moderate
Platanus acerifolia,LONDON PLANE,Platanaceae,exotic,468381,http://eol.org/pages/468381/overview,not listed,not listed,,dense,"rounded, spreading",evergreen,,,moderate
Platanus hybrida,London Plane,Platanaceae,exotic,,,not listed,not listed,,dense,"vase, spreading",,,,
Platanus mexicana,Mexican Sycamore,Platanaceae,exotic,5348089,http://eol.org/pages/5348089/overview,not listed,not listed,,dense,"vase, spreading",,,,
Platanus racemosa,CALIFORNIA SYCAMORE,Platanaceae,native,594707,http://eol.org/pages/594707/overview,not listed,not listed,,filtered,spreading,evergreen,,,
Platanus spp.,SYCAMORE,Platanaceae,exotic,59477,http://eol.org/pages/59477/overview,not listed,not listed,,dense,"vase, spreading",,,,
Platanus X hispanica,London Plane,Platanaceae,exotic,,,not listed,not listed,,dense,"vase, spreading",,,,
Platanus X hispanica 'Bloodgood',Bloodgood Plane,Platanaceae,exotic,,,not listed,not listed,,filtered,rounded,deciduous,,,
Platanus X hispanica 'Columbia',Columbia Plane,Platanaceae,exotic,,,not listed,not listed,,dense,"rounded, spreading",deciduous,,,
Platanus X hispanica 'Yarwood',Yarwood Plane,Platanaceae,exotic,,,not listed,not listed,,filtered,rounded,deciduous,,,
Platycladus orientalis,ORIENTAL ARBORVITAE,Cupressaceae,exotic,323359,http://eol.org/pages/323359/overview,Near Threatened,Near Threatened,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T31305A2803944.en,dense,rounded,evergreen,,,moderate
Prunus armeniaca,APRICOT,Rosaceae,exotic,301091,http://eol.org/pages/301091/overview,Least Concern,Least Concern,,filtered,"Rounded, Spreading, Vase",deciduous,,,moderate
Prunus blireiana,FLOWERING PLUM,Rosaceae,exotic,634384,http://eol.org/pages/634384/overview,not listed,not listed,,filtered,,,,,moderate
Prunus caroliniana,CAROLINA LAUREL CHERRY,Rosaceae,exotic,301110,http://eol.org/pages/301110/overview,not listed,not listed,,dense,rounded,evergreen,,,
Prunus cerasifera,PURPLE-LEAF PLUM,Rosaceae,exotic,301112,https://eol.org/pages/301112/overview,Data Deficient,Data Deficient,http://www.iucnredlist.org/details/172162/1,dense,"rounded, vase",deciduous,limited,https://www.cal-ipc.org/plants/paf/prunus-cerasifera-plant-assessment-form/,moderate
Prunus cerasifera 'Atropurpurea',Purple-Leaf Flowering Plum,Rosaceae,exotic,301112,https://eol.org/pages/301112/overview,not listed,not listed,,dense,"rounded, vase",deciduous,limited,https://www.cal-ipc.org/plants/paf/prunus-cerasifera-plant-assessment-form/,moderate
Prunus cerasifera 'Krater Vesuvius',PLUM KRAUTERS VESUVIUS,Rosaceae,exotic,301112,https://eol.org/pages/301112/overview,not listed,not listed,,dense,rounded,deciduous,limited,https://www.cal-ipc.org/plants/paf/prunus-cerasifera-plant-assessment-form/,moderate
Prunus cerasifera 'Newport',Newport Plum,Rosaceae,exotic,301112,https://eol.org/pages/301112/overview,not listed,not listed,,dense,"rounded, vase",deciduous,limited,https://www.cal-ipc.org/plants/paf/prunus-cerasifera-plant-assessment-form/,moderate
Prunus domestica,PLUM,Rosaceae,exotic,301139,http://eol.org/pages/301139/overview,Data Deficient,Data Deficient,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T50135950A50135957.en,filtered,"rounded, spreading",deciduous,,,moderate
Prunus ilicifolia,Hollyleaf Cherry,Rosaceae,native,11165073,http://eol.org/pages/11165073/overview,not listed,not listed,,dense,spreading,evergreen,,,
Prunus ilicifolia ssp. Lyonii,CATALINA CHERRY,Rosaceae,native,1245549,http://eol.org/pages/1245549/overview,not listed,not listed,,dense,"spreading, vase",evergreen,,,moderate
Prunus lusitanica,Portugal Laurel,Rosaceae,exotic,640257,http://eol.org/pages/640257/overview,Vulnerable,"Vulnerable B2ab(ii,v) (Regional assessment)",http://www.iucnredlist.org/details/62857/1,dense,spreading,evergreen,,,
Prunus persica,PEACH,Rosaceae,exotic,631649,http://eol.org/pages/631649/overview,not listed,not listed,,filtered,rounded,deciduous,,,moderate
Prunus spp.,Stone Fruit,Rosaceae,exotic,39934521,https://eol.org/pages/39934521,not listed,not listed,,filtered,,,,,
Psidium guajava,GUAVA,Myrtaceae,exotic,2508593,http://eol.org/pages/2508593/overview,not listed,not listed,,filtered,"rounded, vase","evergreen, semi-deciduous",,,
Pyrus calleryana,ORNAMENTAL PEAR,Rosaceae,exotic,299081,http://eol.org/pages/299081/overview,not listed,not listed,,dense,rounded,deciduous,watch,https://www.cal-ipc.org/plants/risk/pyrus-calleryana-risk/,moderate
Pyrus kawakamii,EVERGREEN PEAR,Rosaceae,exotic,634663,http://eol.org/pages/634663/overview,not listed,not listed,,filtered,"pendulous, spreading","evergreen, semi-deciduous",,,moderate
Quercus agrifolia,COAST LIVE OAK,Fagaceae,native,1151806,http://eol.org/pages/1151806/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T194049A2295175.en,dense,"rounded, spreading",evergreen,,,minimal
Quercus engelmannii,ENGELMANN OAK,Fagaceae,native,1151633,http://www.eol.org/pages/1151633/overview,Endangered,Endangered A3c,http://www.iucnredlist.org/details/34020/0,dense,vase,,,,
Quercus ilex,HOLLY OAK,Fagaceae,exotic,1151536,http://eol.org/pages/1151536/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T62537A3116134.en,dense,"rounded, spreading",evergreen,,,minimal
Quercus suber,CORK OAK,Fagaceae,exotic,1151259,http://eol.org/pages/1151259/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T194237A2305530.en,dense,"Pendulous, Rounded, Spreading, Vase",evergreen,,,minimal
Quercus tomentella,ISLAND OAK,Fagaceae,native,1151230,http://www.eol.org/pages/1151230/overview,Endangered,"Endangered B2ab(i,ii,iv,v)",http://www.iucnredlist.org/details/30959/0,dense,vase,,,,
Quillaja saponaria,SOAPBARK TREE,Quillajaceae,exotic,241669,http://www.eol.org/pages/241669/overview,not listed,not listed,,dense,rounded,evergreen,,,
Radermachera sinica,CHINA DOLL,Bignoniaceae,exotic,2895140,http://eol.org/pages/2895140/overview,not listed,not listed,,,,evergreen,,,moderate
Ravenea rivularis,MAJESTY PALM,Arecaceae,exotic,1131993,http://eol.org/pages/1131993/overview,Vulnerable,"Vulnerable B2ab(i,ii,iii,iv,v)",http://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T38677A67737451.en,"little, none",palm,evergreen,,,moderate
Rhus lancea,AFRICAN SUMAC,Anacardiaceae,exotic,46323916,http://eol.org/pages/46323916/overview,not listed,not listed,,dense,"pendulous, rounded",evergreen,,,
Rhus laurina,Laurel Sumac,Anacardiaceae,native,486956,https://eol.org/pages/486956/overview,not listed,not listed,,,,evergreen,,,
Robinia ambigua 'Idahoensis',Idaho Locust,Fabaceae,exotic,2513774,http://eol.org/pages/2513774/overview,not listed,not listed,,filtered,vase,deciduous,,,
Robinia pseudoacacia,Black Locust,Fabaceae,exotic,704089,http://eol.org/pages/704089/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T19891648A20138922.en,filtered,spreading,deciduous,limited,https://www.cal-ipc.org/plants/paf/robinia-pseudoacacia-plant-assessment-form/,
Roystonea regia,CUBAN ROYAL PALM,Arecaceae,exotic,1131526,http://eol.org/pages/1131526/overview,not listed,not listed,,"little, none",palm,evergreen,,,moderate
Salix babylonica,WEEPING WILLOW,Salicaceae,exotic,483069,http://www.eol.org/pages/483069/overview,not listed,not listed,,"filtered, dense",weeping,deciduous,,,
Schefflera actinophylla,QUEENSLAND UMBRELLA TREE,Araliaceae,exotic,1150882,http://eol.org/pages/1150882/overview,not listed,not listed,,"filtered, dense",,,,,moderate
Schinus molle,CALIFORNIA PEPPER,Anacardiaceae,exotic,582275,http://eol.org/pages/582275/overview,not listed,not listed,,filtered,"Pendulous, Rounded, Spreading",evergreen,,,minimal
Schinus terebinthifolius,BRAZILIAN PEPPER,Anacardiaceae,exotic,582274,http://eol.org/pages/582274/overview,not listed,not listed,,dense,rounded,evergreen,,,minimal
Sequoia sempervirens,COAST REDWOOD,Cupressaceae,native,1034849,http://eol.org/pages/1034849/overview,Endangered,Endangered A2acd,http://www.iucnredlist.org/details/34051/0,dense,conical,evergreen,,,high
Stenocarpus sinuatus,FIREWHEEL TREE,Proteaceae,exotic,582737,http://eol.org/pages/582737/overview,not listed,not listed,,filtered,,,,,moderate
Strelitzia nicolai,GIANT BIRD OF PARADISE,Strelitziaceae,exotic,345179,http://eol.org/pages/345179/overview,not listed,not listed,,"little, none",palm,evergreen,,,moderate
Stump,STUMP,,,,,not listed,not listed,,,,,,,
Stump - not accessible,STUMP - NOT ACCESSIBLE,,,,,not listed,not listed,,,,,,,
Styphnolobium japonicum,Japanese Pagoda Tree,Fabaceae,exotic,702857,http://eol.org/pages/702857/overview,not listed,not listed,,"filtered, dense",,,,,
Syagrus romanzoffianum,QUEEN PALM,Arecaceae,exotic,1129524,http://eol.org/pages/1129524/overview,not listed,not listed,,"little, none",palm,evergreen,,,moderate
Syzygium paniculatum,BRUSH CHERRY,Myrtaceae,exotic,2508667,http://eol.org/pages/2508667/overview,not listed,not listed,,dense,rounded,evergreen,,,moderate
Syzygium spp.,Eugenia,Myrtaceae,exotic,2508658,http://eol.org/pages/2508658/overview,not listed,not listed,,dense,,,,,
Taxodium distichum,BALD CYPRESS,Cupressaceae,exotic,1061709,http://www.eol.org/pages/1061709/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42261A2967873.en,"filtered, dense",,,,,
Taxodium huegelii,Mexican Cypress,Cupressaceae,exotic,1034850,http://www.eol.org/pages/1034850/overview,not listed,not listed,,"filtered, dense",,,,,
Tecoma stans,YELLOW ELDER,Bignoniaceae,exotic,578225,http://eol.org/pages/578225/overview,not listed,not listed,,filtered,,,,,
Thevetia peruviana,YELLOW OLEANDER,Apocynaceae,exotic,585619,http://eol.org/pages/585619/overview,not listed,not listed,,filtered,,,,,minimal
Thuja occidentalis,American Arborvitae,Cupressaceae,exotic,1034927,http://eol.org/pages/1034927/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42262A2967995.en,little,"conical, rounded",evergreen,,,
Tilia americana,American Linden,Malvaceae,exotic,584834,http://eol.org/pages/584834/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T61788230A61788232.en,filtered,"conical, rounded",deciduous,,,
Tipuana tipu,TIPU,Fabaceae,exotic,638623,http://www.eol.org/pages/638623/overview,not listed,not listed,,filtered,,,,,moderate
Trachycarpus fortunei,WINDMILL PALM,Arecaceae,exotic,1128696,http://eol.org/pages/1128696/overview,not listed,not listed,,little/none,palm,evergreen,,,moderate
Tristaniopsis laurina,WATER GUM,Myrtaceae,exotic,5461008,http://eol.org/pages/5461008/overview,not listed,not listed,,dense,"rounded, vase",evergreen,,,"none, once established"
Ulmus parvifolia,CHINESE ELM,Ulmaceae,exotic,595062,http://eol.org/pages/595062/overview,not listed,not listed,,filtered,"pendulous, spreading","evergreen, semi-deciduous",,,moderate
Ulmus parvifolia 'Allee',Allee Elm,Ulmaceae,exotic,,http://eol.org/pages/595062/overview,not listed,not listed,,filtered,rounded,"evergreen, semi-deciduous",,,moderate
