botanical_name,common_name,family_botanical_name,native,EOL_ID,EOL_overview_URL,simplified_IUCN_status,IUCN_status,IUCN_DOI_or_URL,shade_production,form,type,Cal_IPC_rating,CAL_IPC_url,Irrigation_Requirements
Bauhinia variegata,Purple Orchid Tree,Fabaceae,exotic,702916,http://eol.org/pages/702916/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T19893142A20028421.en,dense,"pendulous, spreading",,,,minimal
Betula pendula,EUROPEAN WHITE BIRCH,Betulaceae,exotic,1149364,http://eol.org/pages/1149364/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T62535A3115662.en,filtered,"Columnar, Pendulous",deciduous,,,moderate
Brachychiton acerifolius,Australian Flame Tree,Malvaceae,exotic,5420372,http://eol.org/pages/5420372/overview,not listed,not listed,,dense,rounded,deciduous,,,
Brachychiton populneus,BOTTLE TREE,Malvaceae,exotic,487630,http://eol.org/pages/487630/overview,not listed,not listed,,dense,rounded,evergreen,,,minimal
Brahea armata,MEXICAN BLUE PALM,Arecaceae,exotic,1121077,http://eol.org/pages/1121077/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T55948517A56756065.en,"little, none",palm,evergreen,,,minimal
Brahea brandegeei,San Jose Hesper Palm,Arecaceae,exotic,1121061,http://eol.org/pages/1121061/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T55948714A55948834.en,"little, none",palm,evergreen,,,
Brahea edulis,GUADALUPE PALM,Arecaceae,exotic,1121015,http://eol.org/pages/1121015/overview,Endangered,Endangered C1,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38455A10120521.en,"little, none",palm,evergreen,,,minimal
Butia capitata,PINDO PALM,Arecaceae,exotic,1003987,http://eol.org/pages/1003987/overview,not listed,not listed,,"little, none",palm,evergreen,,,moderate
Calocedrus decurrens,INCENSE CEDAR,Cupressaceae,native,1061623,http://eol.org/pages/1061623/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42210A2962006.en,dense,conical,evergreen,,,"none, once established"
Calodendrum capense,CAPE CHESTNUT,Rutaceae,exotic,5623469,http://eol.org/pages/5623469/overview,not listed,not listed,,dense,rounded,,,,moderate
Carya illinoinensis,Pecan,Juglandaceae,exotic,594985,https://eol.org/pages/594985/overview,not listed,not listed,,dense,"rounded, spreading",deciduous,,,
Casimiroa edulis,WHITE SAPOTE,Rutaceae,exotic,483587,http://eol.org/pages/483587/overview,not listed,not listed,,dense,rounded,,,,moderate
Cassia leptophylla,GOLD MEDALLION TREE,Fabaceae,exotic,640224,http://eol.org/pages/640224/overview,not listed,not listed,,filtered,rounded,,,,minimal
Castanea mollissima,CHINESE CHESTNUT,Fagaceae,exotic,1148512,http://eol.org/pages/1148512/overview,not listed,not listed,,dense,rounded,,,,minimal
Casuarina cunninghamiana,RIVER SHE-OAK,Casuarinaceae,exotic,629957,http://eol.org/pages/629957/overview,not listed,not listed,,filtered,"Columnar, Conical",evergreen,,,minimal
Catalpa hybrida,Hybrid Catalpa,Bignoniaceae,exotic,70927,http://eol.org/pages/70927/overview,not listed,not listed,,dense,rounded,,,,
Cedrus atlantica,ATLAS CEDAR,Pinaceae,exotic,1033602,http://eol.org/pages/1033602/overview,Endangered,Endangered A2cd,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42303A2970716.en,dense,conical,,,,minimal
Cedrus atlantica 'Glauca',CEDAR BLUE ATLAS,Pinaceae,exotic,1033602,http://eol.org/pages/1033602/overview,Endangered,Endangered A2cd,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42303A2970716.en,dense,"Conical, Spreading",evergreen,,,minimal
Cedrus deodara,DEODAR CEDAR,Pinaceae,exotic,1033603,http://eol.org/pages/1033603/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42304A2970751.en,dense,"Conical, Spreading",evergreen,,,minimal
Cedrus libani,CEDAR-OF-LEBANON,Pinaceae,exotic,1061705,http://eol.org/pages/1061705/overview,Vulnerable,"Vulnerable B2ab(ii,iii,v)",http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T46191675A46192926.en,dense,conical,,,,minimal
Ceiba speciosa,Silk-Floss Tree,Malvaceae,exotic,5405972,http://eol.org/pages/5405972/overview,not listed,not listed,,filtered,rounded,,,,
Ceratonia siliqua,CAROB,Fabaceae,exotic,418096,http://eol.org/pages/418096/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T202951A112823254.en,dense,rounded,evergreen,,,minimal
Cercidium floridum,Blue Palo Verde,Fabaceae,native,2867690,http://eol.org/pages/2867690/overview,not listed,not listed,,little,rounded,,,,
Cercis canadensis,EASTERN REDBUD,Fabaceae,exotic,640323,http://eol.org/pages/640323/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2000.RLTS.T33892A9812587.en,filtered,rounded,deciduous,,,minimal
Cercis canadensis 'Forest Pansy',FOREST PANSY REDBUD,Fabaceae,exotic,640323,http://eol.org/pages/640323/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Cercis canadensis 'Oklahoma',Oklahoma Redbud,Fabaceae,exotic,640323,http://eol.org/pages/640323/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Cercis canadensis texensis,Texas Redbud,Fabaceae,exotic,1271471,http://eol.org/pages/1271471/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Cercis canadensis var. mexicana,Mexican Redbud,Fabaceae,exotic,1271470,http://eol.org/pages/1271470/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Cercis occidentalis,WESTERN REDBUD,Fabaceae,native,640324,http://eol.org/pages/640324/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Cercis spp.,Redbud,Fabaceae,exotic,28998,http://eol.org/pages/28998/overview,not listed,not listed,,dense,rounded,,,,minimal
Chamaerops humilis,MEDITERRANEAN FAN PALM,Arecaceae,exotic,1091059,http://eol.org/pages/1091059/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T13164373A95532812.en,"little, none",palm,evergreen,,,moderate
Chilopsis linearis,Desert Willow,Bignoniaceae,native,580331,http://eol.org/pages/580331/overview,not listed,not listed,,filtered,rounded,,,,
Chionanthus retusus,CHINESE FRINGE TREE,Oleaceae,exotic,2892340,http://eol.org/pages/2892340/overview,not listed,not listed,,filtered,rounded,deciduous,,,moderate
Chitalpa tashkentensis,CHITALPA,Bignoniaceae,exotic,5641725,http://eol.org/pages/5641725/overview,not listed,not listed,,filtered,rounded,,,,
Cinnamomum camphora,CAMPHOR TREE,Lauraceae,exotic,596902,http://eol.org/pages/596902/overview,not listed,not listed,,dense,"Rounded, Spreading",evergreen,,,minimal
Citrus limon,LEMON,Rutaceae,exotic,582200,http://eol.org/pages/582200/overview,not listed,not listed,,dense,rounded,evergreen,,,moderate
Citrus sinensis,ORANGE,Rutaceae,exotic,582206,http://eol.org/pages/582206/overview,not listed,not listed,,dense,rounded,evergreen,,,moderate
Cocculus laurifolius,LAUREL-LEAFED SNAILSEED,Menispermaceae,exotic,2886371,http://eol.org/pages/2886371/overview,not listed,not listed,,"filtered, dense",rounded,evergreen,,,
Cordyline australis,DRACAENA,Asparagaceae,exotic,1087084,http://eol.org/pages/1087084/overview,not listed,not listed,,"little, none",palm,evergreen,limited,https://www.cal-ipc.org/plants/paf/cordyline-australis-plant-assessment-form/,moderate
Corymbia citriodora,LEMON-SCENTED GUM,Myrtaceae,exotic,301375,http://eol.org/pages/301375/overview,not listed,not listed,,dense,rounded,,,,
Corymbia ficifolia,RED FLOWERING GUM,Myrtaceae,exotic,301438,http://eol.org/pages/301438/overview,not listed,not listed,,dense,rounded,,,,
Corymbia maculata,SPOTTED GUM,Myrtaceae,exotic,301463,http://eol.org/pages/301463/overview,not listed,not listed,,dense,rounded,,,,
Cotinus coggygria,SMOKE TREE,Anacardiaceae,exotic,582267,http://eol.org/pages/582267/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T202959A119996147.en,dense,rounded,deciduous,,,
Cryptomeria japonica,JAPANESE CEDAR,Cupressaceae,exotic,126871,http://eol.org/pages/126871/overview,Near Threatened,Near Threatened,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T39149A2886821.en,dense,conical,evergreen,,,moderate
Cupaniopsis anacardioides,CARROTWOOD,Sapindaceae,exotic,481245,http://eol.org/pages/481245/overview,not listed,not listed,,filtered,rounded,evergreen,,,
Cupressocyparis x leylandii,LEYLAND CYPRESS,Cupressaceae,exotic,2496922,http://eol.org/pages/2496922/overview,not listed,not listed,,dense,columnar,evergreen,,,moderate
Cupressus glabra,Smoothbark Arizona Cypress,Cupressaceae,exotic,1282063,http://eol.org/pages/1282063/overview,Near Threatened,Near Threatened,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T19708408A19708411.en,dense,Columnar,,,,minimal
Cupressus sempervirens,ITALIAN CYPRESS,Cupressaceae,exotic,1034869,http://eol.org/pages/1034869/overview,Least Concern,Least Concern,http://www.iucnredlist.org/details/32518/0,dense,columnar,evergreen,,,minimal
Cyathea cooperi,Australian Tree Fern,Cyatheaceae,exotic,483203,http://eol.org/pages/483203/overview,not listed,not listed,,filtered,fern,,,,
Diospyros virginiana,AMERICAN PERSIMMON,Ebenaceae,exotic,595775,http://eol.org/pages/595775/overview,not listed,not listed,,filtered,rounded,deciduous,,,moderate
Dodonaea viscosa,HOPSEED,Sapindaceae,exotic,582326,http://eol.org/pages/582326/overview,not listed,not listed,,dense,rounded,evergreen,,,minimal
Dracaena draco,DRAGON TREE,Asparagaceae,exotic,1087629,http://eol.org/pages/1087629/overview,Vulnerable,Vulnerable A1abcde,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T30394A9535771.en,little,rounded,,,,moderate
Duranta repens,Brazilian Sky Flower,Verbenaceae,exotic,487855,http://eol.org/pages/487855/overview,not listed,not listed,,filtered,spreading,,,,moderate
Dypsis decaryi,TRIANGLE PALM,Arecaceae,exotic,1095068,http://eol.org/pages/1095068/overview,Vulnerable,Vulnerable D1,http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T38531A2873409.en,"little, none",palm,evergreen,,,
Eriobotrya deflexa,BRONZE LOQUAT,Rosaceae,exotic,229674,http://eol.org/pages/229674/overview,not listed,not listed,,"filtered, dense","rounded, vase",evergreen,,,moderate
Eriobotrya japonica,EDIBLE LOQUAT,Rosaceae,exotic,628975,http://eol.org/pages/628975/overview,not listed,not listed,,dense,"rounded, vase",evergreen,,,
Erythrina bidwillii,Bidwills Coral Tree,Fabaceae,exotic,644108,http://eol.org/pages/644108/overview,not listed,not listed,,dense,spreading,,,,moderate
Erythrina caffra,KAFFIRBOOM CORAL TREE,Fabaceae,exotic,644148,http://eol.org/pages/644148/overview,not listed,not listed,,dense,spreading,,,,moderate
Erythrina coralloides,NAKED CORAL TREE,Fabaceae,exotic,643189,http://eol.org/pages/643189/overview,not listed,not listed,,dense,spreading,,,,moderate
Eucalyptus amplifolia,CABBAGE GUM,Myrtaceae,exotic,630154,http://eol.org/pages/630154/overview,not listed,not listed,,dense,"vase, rounded",,,,minimal
Eucalyptus camaldulensis,RED GUM,Myrtaceae,exotic,301398,http://eol.org/pages/301398/overview,not listed,not listed,,"filtered, dense",rounded,evergreen,limited,https://www.cal-ipc.org/plants/paf/eucalyptus-camaldulensis-plant-assessment-form/,minimal
Eucalyptus cinerea,ASH GUM,Myrtaceae,exotic,630170,http://eol.org/pages/630170/overview,not listed,not listed,,filtered,rounded,evergreen,,,minimal
Eucalyptus cladocalyx,SUGAR GUM,Myrtaceae,exotic,637218,http://eol.org/pages/637218/overview,not listed,not listed,,dense,"vase, rounded",,watch,https://www.cal-ipc.org/plants/risk/eucalyptus-cladocalyx-risk/,minimal
Eucalyptus cornuta,YATE,Myrtaceae,exotic,230808,http://eol.org/pages/230808/overview,not listed,not listed,,dense,"vase, rounded",,,,minimal
Eucalyptus deglupta,Mindanao Gum,Myrtaceae,exotic,230366,http://eol.org/pages/230366/overview,not listed,not listed,,dense,"vase, rounded",,,,minimal
Eucalyptus globulus,BLUE GUM,Myrtaceae,exotic,301421,http://eol.org/pages/301421/overview,not listed,not listed,,dense,rounded,evergreen,limited,https://www.cal-ipc.org/plants/paf/eucalyptus-globulus-plant-assessment-form/,minimal
Eucalyptus globulus 'Compacta',Dwarf Blue Gum,Myrtaceae,exotic,301421,http://eol.org/pages/301421/overview,not listed,not listed,,dense,rounded,evergreen,limited,https://www.cal-ipc.org/plants/paf/eucalyptus-globulus-plant-assessment-form/,minimal
Eucalyptus grandis,FLOODED GUM,Myrtaceae,exotic,230778,http://eol.org/pages/230778/overview,not listed,not listed,,dense,"vase, rounded",,,,minimal
Eucalyptus lehmannii,BUSHY YATE,Myrtaceae,exotic,630174,http://eol.org/pages/630174/overview,not listed,not listed,,dense,spreading,evergreen,,,minimal
Eucalyptus leucoxylon 'Rosea',LG.-FRUIT RED-FLOWERING GUM,Myrtaceae,exotic,301411,http://eol.org/pages/301411/overview,not listed,not listed,,"filtered, dense",rounded,evergreen,,,minimal
Eucalyptus nicholii,NICHOLS WILLOW LEAFED PEPPERMINT,Myrtaceae,exotic,630137,http://eol.org/pages/630137/overview,not listed,not listed,,"filtered, dense",rounded,evergreen,,,minimal
Eucalyptus polyanthemos,SILVER DOLLAR GUM,Myrtaceae,exotic,633030,http://eol.org/pages/633030/overview,not listed,not listed,,dense,"rounded, vase",evergreen,,,minimal
Eucalyptus pulverulenta,Silver Mountain Gum,Myrtaceae,exotic,301319,http://eol.org/pages/301319/overview,not listed,not listed,,dense,"vase, rounded",,,,minimal
Eucalyptus robusta,SWAMP MAHOGONY,Myrtaceae,exotic,301423,http://eol.org/pages/301423/overview,not listed,not listed,,dense,rounded,evergreen,,,minimal
Eucalyptus rudis,DESERT GUM,Myrtaceae,exotic,633012,http://eol.org/pages/633012/overview,not listed,not listed,,filtered,spreading,evergreen,,,minimal
Eucalyptus sideroxylon,RED IRONBARK,Myrtaceae,exotic,632020,http://eol.org/pages/632020/overview,not listed,not listed,,filtered,columnar,evergreen,,,minimal
Eucalyptus torquata,CORAL GUM,Myrtaceae,exotic,301419,http://eol.org/pages/301419/overview,not listed,not listed,,dense,"vase, rounded",,,,minimal
Eucalyptus viminalis,MANNA GUM,Myrtaceae,exotic,245551,http://eol.org/pages/245551/overview,not listed,not listed,,filtered,vase,evergreen,,,minimal
Eugenia aggregata,Cherry Of The Rio Grande,Myrtaceae,exotic,2508573,http://eol.org/pages/2508573/overview,not listed,not listed,,filtered,,,,,
Ficus benjamina,WEEPING FIG,Moraceae,exotic,594918,http://eol.org/pages/594918/overview,not listed,not listed,,dense,"vase, rounded",evergeen,,,moderate
Ficus benjamina 'Variegata',Chinese Weeping Banyan,Moraceae,exotic,594918,http://eol.org/pages/594918/overview,not listed,not listed,,dense,"vase, rounded",evergreen,,,moderate
Ficus carica,EDIBLE FIG,Moraceae,exotic,594632,http://eol.org/pages/594632/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2007.RLTS.T63527A12687229.en,dense,"rounded, spreading",deciduous,moderate,https://www.cal-ipc.org/plants/paf/ficus-carica-plant-assessment-form/,moderate
Ficus elastica,RUBBER TREE,Moraceae,exotic,594821,http://eol.org/pages/594821/overview,not listed,not listed,,dense,"vase, rounded",,,,moderate
Ficus lyrata,Fiddleleaf Fig,Moraceae,exotic,482014,http://eol.org/pages/482014/overview,not listed,not listed,,dense,"vase, rounded",,,,moderate
Ficus macrophylla,MORETON BAY FIG,Moraceae,exotic,2876056,http://eol.org/pages/2876056/overview,not listed,not listed,,dense,rounded,evergreen,,,moderate
Ficus microcarpa,WEEPING INDIAN LAUREL FIG,Moraceae,exotic,590525,http://eol.org/pages/590525/overview,not listed,not listed,,dense,"vase, rounded",,,,moderate
Ficus microcarpa 'Green Gem',Green Gem Indian Laurel Fig,Moraceae,exotic,590525,http://eol.org/pages/590525/overview,not listed,not listed,,dense,"vase, rounded",,,,moderate
Ficus microcarpa 'Nitida',INDIAN LAUREL FIG,Moraceae,exotic,26717706,http://eol.org/pages/26717706/overview,not listed,not listed,,dense,"vase, rounded",,,,moderate
Ficus rubiginosa,RUSTY LEAF FIG,Moraceae,exotic,482015,http://eol.org/pages/482015/overview,not listed,not listed,,dense,rounded,evergreen,,,moderate
Ficus spp.,FIG,Moraceae,exotic,60627,http://eol.org/pages/60627/overview,not listed,not listed,,dense,"vase, rounded",,,,moderate
Fraxinus angustifolia oxycarpa,RAYWOOD ASH,Oleaceae,exotic,5653674,http://eol.org/pages/5653674/overview,Least Concern,Least Concern,http://www.iucnredlist.org/details/203366/1,dense,rounded,deciduous,,,
Fraxinus uhdei,SHAMEL ASH,Oleaceae,exotic,487569,http://eol.org/pages/487569/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T96444707A96444709.en,dense,rounded,"evergreen, semi-deciduous",,,minimal
Fraxinus velutina,ARIZONA ASH,Oleaceae,native,579143,http://eol.org/pages/579143/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T96444728A96444730.en,dense,vase,deciduous,,,minimal
Geijera parviflora,AUSTRALIAN WILLOW,Rutaceae,exotic,5624115,http://eol.org/pages/5624115/overview,not listed,not listed,,dense,rounded,evergreen,,,minimal
Ginkgo biloba,MAIDENHAIR TREE,Ginkgoaceae,exotic,1156278,http://eol.org/pages/1156278/overview,Endangered,Endangered B1+2c,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T32353A9700472.en,filtered,"conical, rounded",deciduous,,,minimal
Ginkgo biloba 'Autumn Gold',GINKGO AUTUMN GOLD,Ginkgoaceae,exotic,1156278,http://eol.org/pages/1156278/overview,not listed,not listed,,filtered,"conical, rounded",deciduous,,,minimal
Gleditsia triacanthos,HONEY LOCUST,Fabaceae,exotic,416265,http://eol.org/pages/416265/overview,not listed,not listed,,filtered,rounded,deciduous,,,
Grevillea robusta,SILK OAK,Proteaceae,exotic,582736,http://eol.org/pages/582736/overview,not listed,not listed,,filtered,spreading,evergreen,watch,https://www.cal-ipc.org/plants/risk/grevillea-robusta-risk/,minimal
Hakea suaveolens,SWEET HAKEA,Proteaceae,exotic,5511103,http://eol.org/pages/5511103/overview,not listed,not listed,,filtered,rounded,,,,
Handroanthus chrysotrichus,Golden Trumpet Tree,Bignoniaceae,exotic,5637482,http://eol.org/pages/5637482/overview,not listed,not listed,,dense,rounded,,,,
Handroanthus impetiginosus,Pink Trumpet Tree,Bignoniaceae,exotic,5637444,http://eol.org/pages/5637444,not listed,not listed,,"filtered, dense","rounded, vase",deciduous,,,
Harpephyllum caffrum,KAFFIR PLUM,Anacardiaceae,exotic,6935240,http://eol.org/pages/6935240/overview,not listed,not listed,,dense,rounded,,,,minimal
Hesperocyparis forbesii,Tecate Cypress,Cupressaceae,native,1282066,http://eol.org/pages/1282066/overview,Endangered,"Endangered B2ab(ii,iii,iv,v)",http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T34081A2844134.en,filtered,conical,,,,
Hesperocyparis macrocarpa,MONTEREY CYPRESS,Cupressaceae,native,1034856,http://eol.org/pages/1034856/overview,Vulnerable,Vulnerable D2,http://www.iucnredlist.org/details/30375/0,filtered,conical,,,,
Heteromeles arbutifolia,TOYON,Rosaceae,native,2507930,http://eol.org/pages/2507930/overview,not listed,not listed,,dense,rounded,evergreen,,,
Howea belmoreana,Sentry Palm,Arecaceae,exotic,1142854,http://eol.org/pages/1142854/overview,Vulnerable,Vulnerable D2,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38576A10125688.en,"little, none",palm,evergreen,,,
Howea forsteriana,PARADISE PALM,Arecaceae,exotic,1142853,http://eol.org/pages/1142853/overview,Vulnerable,Vulnerable D2,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38577A10125794.en,"little, none",palm,evergreen,,,
Hymenosporum flavum,SWEETSHADE,Pittosporaceae,exotic,2865770,http://eol.org/pages/2865770/overview,not listed,not listed,,filtered,"conical, vase",evergreen,,,
Ilex altaclarensis 'Wilsonii',WILSON HOLLY,Aquifoliaceae,exotic,,,not listed,not listed,,"filtered, dense",rounded,evergreen,,,
Jacaranda mimosifolia,JACARANDA,Bignoniaceae,exotic,580335,http://eol.org/pages/580335/overview,Vulnerable,Vulnerable B1+2ac,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T32027A9675619.en,"filtered, dense",rounded,deciduous,,,minimal
Jubaea chilensis,CHILEAN WINE PALM,Arecaceae,exotic,1142626,http://eol.org/pages/1142626/overview,Vulnerable,Vulnerable A1cd,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38586A10128158.en,"little, none",palm,evergreen,,,
