botanical_name,shade_production,form,type
Howea forsteriana,"little, none",palm,evergreen
Hymenosporum flavum,filtered,"conical, vase",evergreen
Ilex altaclarensis 'Wilsonii',"filtered, dense",rounded,evergreen
Jacaranda mimosifolia,"filtered, dense",rounded,deciduous
Jubaea chilensis,"little, none",palm,evergreen
Juglans hindsii,filtered,spreading,deciduous
Juniperus chinensis,little,conical,evergreen
Juniperus chinensis 'Torulosa',little,conical,evergreen
Koelreuteria bipinnata,filtered,"rounded, vase",deciduous
Koelreuteria paniculata,filtered,"rounded, vase",deciduous
Lagerstroemia indica,filtered,rounded,deciduous
Lagerstroemia indica 'Muskogee',filtered,rounded,deciduous
Lagerstroemia indica 'Natchez',filtered,rounded,deciduous
Lagerstroemia indica 'Purple',filtered,rounded,deciduous
Lagerstroemia indica 'Red',filtered,rounded,deciduous
Lagerstroemia indica 'Tuscarora',filtered,rounded,deciduous
Lagerstroemia indica 'White',filtered,rounded,deciduous
Lagunaria patersonii,dense,rounded,evergreen
Laurus nobilis,dense,conical,evergreen
Leptospermum laevigatum,dense,rounded,
Leptospermum spp.,dense,rounded,
Ligustrum lucidum,dense,rounded,evergreen
Liquidambar formosana,dense,columnar,deciduous
Liquidambar styraciflua,dense,"columnar, rounded",deciduous
Liquidambar styraciflua 'Rotundiloba',dense,"columnar, rounded",deciduous
Liriodendron tulipifera,dense,"rounded, vase",deciduous
Livistona chinensis,"little, none",palm,evergreen
Lophostemon confertus,filtered,rounded,evergreen
Lophostemon confertus 'Variegata',filtered,rounded,evergreen
Lyonothamnus floribundus,filtered,vase,evergreen
Macadamia integrifolia,dense,rounded,
Macadamia tetraphylla,dense,rounded,
Magnolia champaca,dense,rounded,
Magnolia grandiflora,dense,"rounded, spreading",evergreen
Magnolia grandiflora 'Little Gem',dense,"rounded, spreading",evergreen
Magnolia grandiflora 'Samuel Sommer',dense,"rounded, spreading",evergreen
Magnolia soulangiana,filtered,rounded,deciduous
Malus floribunda,dense,spreading,deciduous
Malus sylvestris,dense,rounded,
Maytenus boaria,filtered,pendulous,evergreen
Melaleuca armillaris,"filtered, dense",rounded,evergreen
Melaleuca citrina,,,
Melaleuca ericifolia,dense,pendulous,
Melaleuca genistifolia,dense,pendulous,
Melaleuca linariifolia,"filtered, dense",rounded,evergreen
Melaleuca nesophila,little,rounded,evergreen
Melaleuca quinquenervia,dense,"rounded, vase",evergreen
Melaleuca spp.,dense,pendulous,
Melaleuca viminalis,,,
Melia azedarach,filtered,rounded,deciduous
Metrosideros excelsus,"filtered, dense",rounded,evergreen
Morus alba,dense,"rounded, spreading",evergreen
Morus spp.,,,
Musa spp.,,,
Myoporum laetum,dense,spreading,evergreen
Myrtus communis,dense,conical,evergreen
Nerium oleander,little,rounded,evergreen
Nolina recurvata,"little, none",palm,evergreen
Olea europaea,filtered,"rounded, vase",evergreen
Palm spp.,"little, none",palm,evergreen
Parkinsonia X 'Desert Museum',"little, none",palm,evergreen
Persea americana,filtered,rounded,evergreen
Persea borbonia,filtered,rounded,evergreen
Persea indica,filtered,rounded,evergreen
Phoenix canariensis,little,,
Phoenix dactylifera,little,,
Phoenix reclinata,"little, none",palm,evergreen
Phoenix roebelenii,"little, none",palm,evergreen
Phoenix rupicola,"little, none",palm,evergreen
Picea pungens,dense,"columnar, conical",evergreen
Picea spp.,dense,conical,
Pinus brutia,dense,conical,
Pinus canariensis,filtered,columnar,evergreen
Pinus eldarica,dense,conical,
Pinus halepensis,filtered/dense,conical,evergreen
