species_id,original_url,author,author_url
223,https://content.eol.org/data/media/85/c4/40/7.CalPhotos_0000_0000_0416_2143.jpg,2016 Zoya Akulova,https://eol.org/pages/6940183/media
223,https://content.eol.org/data/media/85/fa/fd/7.CalPhotos_0000_0000_0516_0330.jpg,2016 Zoya Akulova,https://eol.org/pages/6940183/media
223,https://content.eol.org/data/media/85/fe/46/7.CalPhotos_0000_0000_0516_1939.jpg,2016 Zoya Akulova,https://eol.org/pages/6940183/media
224,https://content.eol.org/data/media/85/fc/93/7.CalPhotos_0000_0000_0516_0944.jpg,2016 Zoya Akulova,https://eol.org/pages/5449241/media
224,https://content.eol.org/data/media/85/fc/94/7.CalPhotos_0000_0000_0516_0945.jpg,2016 Zoya Akulova,https://eol.org/pages/5449241/media
224,https://content.eol.org/data/media/86/3e/6b/7.CalPhotos_0000_0000_0617_0857.jpg,2017 Zoya Akulova,https://eol.org/pages/5449241/media
225,https://content.eol.org/data/media/5b/5a/f3/18.233a51f794efe36bc4181af259e0406b.jpg,Martin Bennett,https://eol.org/pages/5449350/media
225,https://content.eol.org/data/media/5b/f5/01/18.26941709484883dd0d3fd65550a39e66.jpg,Thomas Mesaglio,https://eol.org/pages/5449350/media
225,https://content.eol.org/data/media/5c/47/6a/18.285db92826d4e491637250add796ce6d.jpg,Jessica,https://eol.org/pages/5449350/media
226,https://content.eol.org/data/media/87/7e/2b/7.CalPhotos_0000_0000_1215_3507.jpg,2015 Zoya Akulova,https://eol.org/pages/5449388/media
226,https://content.eol.org/data/media/85/fb/98/7.CalPhotos_0000_0000_0516_0519.jpg,2016 Zoya Akulova,https://eol.org/pages/5449388/media
226,https://content.eol.org/data/media/85/fb/99/7.CalPhotos_0000_0000_0516_0520.jpg,2016 Zoya Akulova,https://eol.org/pages/5449388/media
227,https://content.eol.org/data/media/d5/8b/00/542.07433ec20d6c62dd6e4de85e0ff83ee2.jpg,John Rusk,https://eol.org/pages/2508583/media
227,https://content.eol.org/data/media/d7/43/5f/542.743825d82712e04a147871b0a302e67e.jpg,John Rusk,https://eol.org/pages/2508583/media
227,https://content.eol.org/data/media/d8/53/03/542.b790e0f08ef80da24142b06381e6f5be.jpg,John Rusk,https://eol.org/pages/2508583/media
228,https://content.eol.org/data/media/d6/8a/25/542.4697437db4976e2ac5be157322a8ba65.jpg,Dick Culbert,https://eol.org/pages/5449572/media
228,https://content.eol.org/data/media/86/00/9f/7.CalPhotos_0000_0000_0517_0375.jpg,2017 Zoya Akulova,https://eol.org/pages/5449572/media
228,https://content.eol.org/data/media/86/00/a0/7.CalPhotos_0000_0000_0517_0376.jpg,2017 Zoya Akulova,https://eol.org/pages/5449572/media
229,https://content.eol.org/data/media/86/36/fa/7.CalPhotos_0000_0000_0616_0343.jpg,2016 Zoya Akulova,https://eol.org/pages/2508582/media
